사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1178100045,5,20210902,1847185,이**,62,상무이사,기타,2,비등기,Lee Yeong Guk,,,,서울대학교,LG헬로비전 CSO 2020 CJ Hello HomeLiving사업본부 2019 CJ,I,20221114,,
1178100045,6,20210902,1847185,김**,65,상무보,기술,3,미분류,Kim Hong Ik,,,,,CJ Hello 기술담당 2018 CJ헬로비전 스마트기술팀 20132017,I,20221114,,
1178100045,7,20210902,1847185,고**,76,사외이사,,,,,,,,,"Smart Farm Go 대표 전 DLive 가입자서비스부문장COO, 부사장",I,20221114,,
1178100045,8,20210902,1847185,김**,76,사외이사,,,,,,,,,고려대 경영학과 교수 전 한국증권학회 학술연구위원회 위원장,I,20221114,,
1178100045,9,20210902,1847185,오**,76,사외이사,,,,,,,,,법무법인 태평양 대표변호사 전 미래창조과학부 통신요금심의위,I,20221114,,
1178100045,10,20210902,1847185,박**,999,기타,,,,,,,,,LG헬로비전 미디어사업담당 20182020 CJ Hello 나라방송 대표,I,20221114,,
1178100045,11,20210902,1847185,안**,999,기타,,,,,,,,,주LG유플러스 금융담당 2019주LG유플러스 회계담당 2017,I,20221114,,
1178100045,12,20210902,1847185,우**,999,기타,사업부,2,비등기,U Yeong Sang,,,,,LG헬로비전 모바일사업그룹장기업사업추진단장 2020 CJ Hello,I,20221114,,
1178100045,13,20210902,1847185,장**,999,기타,,,,,,,,,LG유플러스 PS부문 고객서비스 그룹장 2018 씨에스원파트너 대,I,20221114,,
1178100045,14,20210902,1847185,최**,999,기타,,,,,,,,,LG헬로비전 인사담당 2020 LG유플러스 CHO 인사팀 20172019,I,20221114,,
1178100045,15,20210902,1847185,송**,30,대표이사사장,,,,,,,,,"주LG유플러스 홈미디어부문장, 전무 20162019 주LG유플",I,20221114,,
1178100045,16,20210902,1847185,이**,60,기타비상무이사,,,,,,,,,"주LG 통신서비스팀장, 상무 2019 주LG유플러스 AIoT상품담",I,20221114,,
1178100045,17,20210902,1847185,이**,62,상무이사,기타,2,비등기,Lee Yeong Guk,,,,서울대학교,LG헬로비전 CSO 2020 CJ Hello HomeLiving사업본부 2019  C,I,20221114,,
1178100045,18,20210902,1847185,김**,65,상무보,기술,3,미분류,Kim Hong Ik,,,,,LG헬로비전 기술담당 20182020 CJ헬로비전 스마트기술팀 201,I,20221114,,
1178100045,19,20210902,1847185,고**,76,사외이사,,,,,,,,,"Smart Farm Go 대표 전 D Live 가입자서비스부문장COO, 부사",I,20221114,,
1178100045,20,20210902,1847185,오**,76,사외이사,,,,,,,,,법무법인 태평양 대표 변호사 전 미래창조과학부 통신요금심의,I,20221114,,
1178100045,21,20210902,1847185,안**,999,기타,,,,,,,,,주LG유플러스 금융담당 2019 주LG유플러스 회계담당 2017,I,20221114,,
1178100045,22,20210902,1847185,장**,999,기타,,,,,,,,,LG유플러스 PS부문 고객서비스그룹장 2018 씨에스원파트너 대,I,20221114,,
1208600046,1,20220216,1731209,조**,30,대표이사사장,,,,,10322,경기도 고양시 일산동구 위시티4로,"46, 206동 1103호 (식사동,위시티일산자이2단지)", Rutgers University 전기공학 박사1992,삼성SDS 92.0100.01삼성전자83.0187.01,I,20221114,,
1208600046,2,20220216,1731209,이**,43,부사장,해외,1,등기,Lee Gang Man,,,, IOWA주립대학교 대학원 MBA1993,티맥스소프트 13.1115.10일텔리안시스템즈 11.0613.11,I,20221114,,
1208600046,3,20220216,1731209,윤**,52,전무이사,전략,2,비등기,Yun Deok Sang,,,,,KT ds 14.0716.12롯데정보통신 05.0814.06시큐아이닷컴 0,I,20221114,,
1208600046,4,20220216,1731209,이**,52,전무이사,재무,1,등기,Lee Ji Su,,,,,삼성SDS 92.0100.06,I,20221114,,
1208600046,5,20220216,1731209,강**,62,상무이사,사업부,2,비등기,Gang Bong Ho,,,,한양대학교,씨네티아정보통신 02.0103.01시스웹 99.0301.12두산정보통,I,20221114,,
1208600046,6,20220216,1731209,강**,62,상무이사,재무,2,비등기,Gang Yong Gwon,,,,,삼성SDS 94.0812.01,I,20221114,,
1208600046,7,20220216,1731209,고**,62,상무이사,,3,미분류,Go Dong Hyeon,,,,,엔토크커뮤니케이션즈 99.0902.02넥센 02.0203.03빅풋커뮤,I,20221114,,
1208600046,8,20220216,1731209,김**,62,상무이사,사업부,2,비등기,Kim Gyu Bong,,,,,넷스카우트 13.0918.01시만텍 10.0512.03마이크로소프트 ,I,20221114,,
1208600046,9,20220216,1731209,김**,62,상무이사,기획,2,비등기,Kim Yong Gil,,,,,스펙트라 00.0307.11삼성SDS 96.0200.03,I,20221114,,
