사업자등록번호,순번,데이터수집일자,데이터구분,과제명,과제코드,성과ID,성과고유번호,성과년도,과제기준년도,부처코드,부처명,예산사업코드,예산사업명,연구수행기관코드,연구수행주체명,6T코드,6T분류명,국가기술지도코드,국가기술지도명,과학기술표준대분류코드,과학기술표준대분류명,과학기술표준중분류코드,과학기술표준중분류명,과학기술표준소분류코드,과학기술표준소분류명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018100041,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100041,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100042,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100042,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100043,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100043,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100044,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100044,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100045,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100045,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100046,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100046,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100047,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100047,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200048,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200048,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200049,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200049,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200050,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200050,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200051,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200052,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200052,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200053,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200054,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200055,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018200055,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018500056,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018500057,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600058,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600059,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600060,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600060,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600061,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600061,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600062,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600063,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600063,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600064,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600065,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600066,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600067,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600067,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600068,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600069,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600070,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600070,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600071,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600071,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
