"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","ADDRESS"
"2088127621",한빛나노의료기,남한우,"19990513",경기 이천시 백사면 청백리로393번길 445 (현방리)
"1068184011",코스온,이동건,"19991207","서울 강남구 영동대로 333 8층 (대치동,동원빌딩)"
"2298135491",케미랜드,이범주,"19990106",경기 안성시 미양면 개정산업단지로 77 (개정리)
"1248160808",코디,구자형외 1명,"19990213","경기 용인시 수지구 광교중앙로 338 에이동 에이301호, 에이302호, 에이303호,에이304호,에이 (상현동)"
"2208161105",에스까다코스메틱,김학면,"19990430","서울특별시 성동구 성수이로10길 14 407호,408호 (성수동2가,에이스하이엔드성수타워)"
"2098123948",고운세상코스메틱,이주호,"19991218",경기 성남시 분당구 분당로 55 11층 (서현동)
"1358133733",스킨케어,박봉학,"19990909",경기도 평택시 서탄면 수월암2길 88-10 (수월암리)
"3038124119",코스메카코리아,박은희외 1명,"19991005",충청북도 음성군 대소면 대금로196번길 17-12 17-9 (대풍리)
"1298130309",제이피에스코스메틱,선일규외 1명,"19991010",인천 남동구 앵고개로449번길 80 (고잔동)
"1388170213",아이엔에스코리아,최영섬,"19990814",경기 의왕시 한밭들길 12 (고천동)
"1218132171",진해개발,박원자,"19990930","경기도 김포시 봉화로 9-23, 402호 (사우동)"
"1338138483",이브셀,구상모,"19990105",경기도 시흥시 공단1대로80번길 27 (정왕동)
"1348208785",안산제일복지재단,허요환,"19990821",경기 안산시 상록구 시낭공원안길 22 (부곡동)
"2128143746",고려티엠,최형춘,"19990901",인천광역시 남동구 남동동로123번길 12 에이동 94-9롯트 (고잔동)
"2118658125",비엘화장품,권문철,"19991015","서울특별시 강남구 도산대로 510 506호 (청담동,신한오피스텔)"
"1348148081",아름다운화장품,이재일,"19991116",충청남도 천안시 서북구 성거읍 천흥8길 55 (천흥리)
"2158174461",이넬화장품,장경은외 1명,"19990401","서울 송파구 송파대로 201 제비동 7층 701,705,706호 (문정동,송파테라타워2)"
"1198131349",서한코스켐,김호성,"19990705","경기 안양시 동안구 학의로 268 110호 (관양동,안양메가밸리)"
"1318157617",씨앤아이바이오텍,강용기,"20000729","인천광역시 남동구 남동동로183번길 11 (고잔동,남동공단)"
"2118697583",콧데,이현숙외 1명,"20000503",충청남도 천안시 동남구 수신면 우각골길 19-3 (장산리)
"1268145614",현대바이오사이언스,오상기,"20000525",경상북도 김천시 아포읍 아포공단길 106 (인리)
"2118695533",네이쳐프러스,김종철,"20000415","서울 서초구 서래로10길 9 비103호 (반포동,서래빌딩)"
"3038509488",한국화장품음성공장,이용준외  1명,"20000404",충북 음성군 삼성면 대성로547번길 74 (용성리)
"1258134716",한솔장업,이영석,"20001201",경기 평택시 산단로52번길 76
"2278107515",유니캡스코리아(주)장수해,이정희,"20001209",서울 서초구 강남대로 309
"1308169444",나우코스,김태원외 1명,"20000401",세종 전의면 산단길 220 (신정리)
"1098161657",코바스,고숙량,"20000107",경기 파주시 신촌로 43 (신촌동)
"3058138977",네오팜,김양수,"20000701",대전 유성구 테크노2로 309-8 (탑립동)
"1318158751",녹십초화장품,박형문,"20000923",인천 남동구 남동대로 302 (논현동)
"2148664849",스펠라,박성욱,"20000720","서울특별시 영등포구 영등포로 347, 13층 (신길동,한독타워)"
"1208610198",시스템포유,김재섭,"20000805","서울특별시 송파구 문정로 11-1, 2층 (문정동,준영빌딩)"
"1068191486",에스티트레이딩,심상기,"20000701","경기도 양주시 옥정로 218 8층 804호 (옥정동,신운정튼튼프라자)"
"2118698525",클라젠,김정득,"20000518",경기도 안양시 동안구 시민대로109번길 66 (호계동)
"1358135202",씨아이티,김재진,"20000101",충청남도 당진시 합덕읍 합덕산단1로 110 (소소리)
"2118695455",바이오스펙트럼,박덕훈,"20000401","경기 용인시 수지구 신수로 767 1805호 (동천동,분당수지 유타워)"
"1308174836",이손,이정섭,"20001120",인천광역시 남동구 청능대로 309 남동공단 (고잔동)
"1068190930",이지함화장품,김상명,"20000620","서울특별시 강남구 도산대로 157 18층 (신사동,신웅타워2)"
"2218116850",라이프투게더,송운서,"20000710",강원도 춘천시 공단로 13 (후평동)
"1078176019",씨앤앤코스메틱,김영숙,"20000114",경기도 부천시 삼작로177번길 37 (내동)
"1098163771",에바스코스메틱,김주원,"20000504",경기도 평택시 산단로 35-5 (모곡동)
"2148659458",비에스티,이호,"20000526","경기도 성남시 중원구 사기막골로45번길 14, 비-109호 (상대원동,우림라이온스밸리 2차 비동)"
"2148649402",에프앤코,김창수,"20000219","서울특별시 강남구 언주로 541 (역삼동,에프앤에프빌딩)"
"2148646652",웰컴엠에스,박병일,"20000120","서울특별시 송파구 백제고분로 177 (잠실동,유창빌딩)"
"2208602474",아우딘퓨쳐스,최영욱,"20001218",서울 강남구 테헤란로 508 (대치동)
"4088138830",세계로,정광숙,"20000201",전라남도 나주시 산포면 세남로 1445 (산제리)
"2148652057",아주의대벤쳐메딕스,이덕기,"20000316","경기도 성남시 분당구 운중로 124 6층 601호,602호,603호 (운중동,마크시티블루)"
"1198134685",에이블씨엔씨,김유진,"20000107","서울특별시 중구 남대문로 78 7층 (명동1가,타임워크명동빌딩)"
"1348165571",지투코리아,이종의,"20010227",경기도 안산시 상록구 천문3길 4-1 (사동)
"1208627535",스위스퍼펙션,이수진,"20011012",서울특별시 용산구 이태원로55길 45 (한남동)
"1048160935",엔프라니,김태훈,"20010401",인천광역시 중구 축항대로296번길 88 (신흥동3가)
"3018154640",파이온텍,김태곤,"20010813",충북 청주시 흥덕구 오송읍 오송생명1로 13 (연제리)
"2068157245",디모아이엔씨,최봉재,"20010413","경기도 고양시 덕양구 통일로396번길 250 고양아쿠아스튜디오 내 입주센터 101호, 201호, 202호, 203호실 (오금동)"
"1098173060",대광건화,이중원,"20010824","서울 강서구 화곡로 193 3층 (화곡동,성원빌딩)"
"1088149631",허니템,백영민,"20010823","서울 서초구 방배로 227 3층 307호 (방배동,영춘빌딩)"
"1348168068",코레존,조대식,"20010424",서울 송파구 백제고분로7길 8-8 5층 (잠실동)
"1088151175",이아소,김승우,"20011122","서울 금천구 벚꽃로 278, 501호 (가산동,SJ테크노빌)"
"1068198311",영프래그랜스,유성준,"20010404",서울특별시 용산구 한강대로62다길 37 (한강로1가)
"2118704683",코스엠앤엠,이명섭,"20011124",인천광역시 부평구 평천로73번길 14 (청천동)
"2218119973",에프엠지,이형석,"20011010",강원 춘천시 퇴계공단길 72 (퇴계동)
"2068158905",코스메디크,최영상,"20010529",경기도 화성시 동탄산단9길 9-7 (방교동)
"2208638045",스프루스코리아,박클리포드치욱,"20010613","서울특별시 강남구 도산대로45길 8-1 5층 (신사동,스프루스빌딩)"
"2278107553",스피어테크,김종호,"20010101",강원도 양양군 양양읍 포월새말길 23-24 (포월리)
"1078199934",금용주상사,김용주,"20010504",서울특별시 강서구 허준로 202-22 (가양동)
"4088149040",다영,김옥덕,"20010907",광주광역시 동구 금남로 184 (금남로5가)
"5138122697",코스나인,백광열외 1명,"20010620",경기 김포시 양촌읍 학운산단2로 27 (학운리)
"2148702535",아마르떼,오미옥,"20011127","충청북도 청주시 청원구 오창읍 각리1길 7 406호 (각리,오창벤쳐프라자)"
"2098127788",이엔비에스,김홍본,"20010210",인천광역시 서구 도담4로 33 (오류동)
"1058625182",금옥승유통,윤미숙,"20010508",서울 마포구 큰우물로 64 4층 (용강동)
"2148675782",아로마티카,김영균,"20010119",서울특별시 강남구 도산대로1길 62 (신사동)
"1198146876",잎스코스메틱,김종문,"20010418",서울 영등포구 도림로 180 2층 (대림동)
"2018162670",우성코스메틱,은이영,"20010103",서울특별시 중구 퇴계로 328-1 (광희동2가)
"1358149079",제닉,허남,"20010927",경기도 성남시 분당구 판교로255번길 34 3층 (삼평동)
"1318165650",내츄럴코리아,박홍순,"20010713",경기 파주시 문산읍 돈유2로 140 (선유리)
"1058622259",아쿠아렉스,장기호,"20010223","경기 성남시 중원구 둔촌대로457번길 27 203호 (상대원동,우림라이온스밸리1차)"
"4108171870",전남섬유,이지모,"20020430",광주광역시 북구 양일로 147-23 (양산동)
"2018176683",굳모닝레이디,고동연,"20020904","서울 동대문구 답십리로 294 206호 (장안동,상림빌딩)"
"1218156377",디어스,남순철,"20021017","경기도 부천시 조마루로385번길 123, 4층 (춘의동)"
"2108208037",가브리엘작업활동시설,김혜경,"20020801",서울 노원구 한글비석로24라길 94-13
"1358530340",송학,강경아,"20020521",경기 용인시 처인구 남사면 천덕산로482번길 34 (원암리)
"2208650170",데일리펫,김기욱,"20021025",서울특별시 서초구 효령로61길 14-5 (서초동)
"2118715666",더스킨컴퍼니,김도연,"20020605","서울특별시 강남구 개포로82길 11 301호 (개포동,삼우빌딩)"
"2148721279",위니치에스앤디,양병두,"20021015","경기 고양시 일산동구 백마로 195, 15층 15002호, 15004호 (장항동,에스케이엠시티타워오피스)"
"1018182774",트리비스,조무열,"20020517","경기도 성남시 분당구 성남대로331번길 13 304호 (정자동,백궁프라자1)"
"1298154669",유니젯,김석순외 1명,"20020919",경기도 평택시 진위면 마산4로 120 (마산리)
"6078159392",송학,강경아,"20020521",경상남도 고성군 동해면 구절로 314 (장좌리)
