"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","ADDRESS"
"2298125751",포렌코즈,정춘희,"19970117","경기도 성남시 분당구 판교로 186 2층 (판교동,포렌코즈빌딩)"
"1178118544",링클사이언스,강문준,"19970116","인천광역시 연수구 먼우금로 189 302호 (청학동,소망빌딩)"
"1068129643",샤넬코리아,스테판티에리피에르블랑샤르,"19971027","서울특별시 중구 세종대로9길 41 11층 (서소문동,퍼시픽타워)"
"2208147194",바이어스도르프코리아,베라디쥬제페,"19970828","서울특별시 영등포구 국제금융로 10 17층 (여의도동,투아이에프씨동)"
"6218130649",진도그린,김진성,"19980611",경남 양산시 동면 곡리1길 9 (석산리)
"2208150699",흰달,권동혁,"19980303",서울특별시 강남구 선릉로130길 57 (삼성동)
"2118628956",루미가넷네일스파,문유선,"19980501","서울 강남구 역삼로 432 401호 (대치동,쌔씨존)"
"2198127183",에스제이월드,이성운,"19980928","서울 강동구 강동대로 155 4층 403호 (성내동,현대제이드빌딩)"
"1098153744",다인케이앤에프컴퍼니,황태환,"19980401","경기 용인시 기흥구 중부대로 184 B동 107-2호 (영덕동,힉스유타워)"
"2208167735",케이에스케이유나이티드아로마코리아,김석규,"19991001",경기 성남시 수정구 탄천로307번길 5 (사송동)
"1098159919",성진코스메틱스,김성신,"19991022","서울특별시 영등포구 양산로 43 907호 (양평동3가,우림이-비즈센터)"
"1208188838",에버아트,홍정연,"19990428","서울 강남구 언주로30길 13 2708호 (도곡동,대림아크로빌)"
"6808801536",보신지케이,이중락,"19990727","서울 강남구 영동대로 602 6층 (삼성동,삼성동미켈란)"
"6028115424",피부나라,김경오,"19991018","부산광역시 부산진구 전포대로171번길 12 C동 701호 (전포동,서면세종그랑시아)"
"2148633536",케이엔유,박희원,"19990608","서울특별시 강남구 영동대로86길 12 2층 (대치동,동남유화빌딩)"
"2148631028",유알지,전희형,"19990329","서울 강남구 헌릉로569길 21-36 (세곡동,유알지빌딩)"
"2148637639",더말프로,안동석외 1명,"19990909","서울특별시 강남구 언주로 817 6층 (신사동,신사빌딩)"
"4098147991",필코스메틱,김양순,"19990609",광주광역시 북구 양산로 79 (양산동)
"1238151698",코스파인,김홍섭,"19991018",경기 군포시 당정로60번길 5 (당정동)
"2118654736",아이디얼뷰티,송석우,"19990724","서울특별시 강동구 상암로 11 116동 101호 (암사동,선사현대아파트)"
"2118648495",두르가,박동용,"19990107","경기도 용인시 처인구 모현면 문형동림로 34-1 (동림리,인터팩)"
"2118656471",하이코스,김도형,"19990902","서울특별시 강남구 학동로31길 12 (논현동,벤처캐슬빌딩)"
"1178126141",바헬,이훈숙,"19991221","서울 성동구 성수일로 55, 803호"
"2118650007",에이취앤비코스메틱코리아,박윤성,"19990305",서울특별시 강남구 논현로14길 13 4층 (개포동)
"1168171721",엑스엠,김홍립,"19990204",제주도 서귀포시 호근북로106번길 12-4 (호근동)
"2118666514",폴세,이중기,"20000925",인천광역시 미추홀구 염창로 68 4층 (주안동)
"1018159818",웰스킨,박경찬,"20000628","서울 금천구 가산디지털1로 70 705호 (가산동,호서대벤처타워)"
"1228161683",주주에이비씨,이용호,"20000509","경기도 부천시 소사구 송내대로27번길 60, 101호 (송내동)"
"2118662084",커커,이승철,"20000707",서울 강남구 언주로148길 19 8층 (논현동)
"1018157824",알로에베라코리아,이은성,"20000509","서울특별시 마포구 성미산로11길 8 102호 (성산동,골든빌아파트)"
"6108146535",씨제이올리브영울산성남점,유길상,"20001114",울산 중구 젊음의거리 76 (성남동)
"2158186138",미라클에이치앤비,김형철,"20000118","경상북도 구미시 인동32길 43-2 207호 (진평동,대동카라)"
"2118692614",쉬즈피아닷컴,이동원,"20000303","서울특별시 구로구 경인로 164 407호 (오류동,대일빌딩)"
"1178127136",아이코스화장품,박용수,"20000221","서울특별시 양천구 목동중앙남로11길 13 401호 (목동,아이코스빌딩)"
"1238158648",비케무역,김봉진,"20000705","경기도 군포시 고산로 166 104동 905호 (당정동,에스케이벤티움)"
"2068152124",투윈상사,김명학,"20001020",서울 강동구 동남로65길 52-15 (명일동)
"2118663405",씨앤엠코스메틱,윤석민,"20000726","서울특별시 강남구 선릉로132길 3-6 1층 (청담동,서원빌딩)"
"2158188363",핀크스,이병식,"20000314",서울 서초구 서초대로19길 10-20 (방배동)
"1238156091",신우아이시티,신철우,"20000414","경기도 안양시 동안구 시민대로 401 1907호 (관양동,대륭테크노타운15차)"
"1178128004",아미올,정경식,"20000329",서울특별시 양천구 은행정로 58 (신정동)
"2158194389",한국바이오인더스트리,이주완,"20000630","서울특별시 성동구 성수이로 51 701호 (성수동2가,한라시그마벨리)"
"2148670225",이앤알로지스틱,김윤범,"20001101","서울특별시 서초구 반포대로39길 56-22, 101호 (반포동,선우빌라)"
"1058613560",셀트리온스킨큐어,성종훈,"20000615",서울 서초구 강남대로 601 7층 (잠원동)
"1058608408",하나비즈,한춘석,"20000225","서울 영등포구 여의동로 143 A동 201호 (여의도동,대우트럼프월드)"
"2208180039",두리인터내셔날,노정열,"20000310",경기 안성시 서운면 솔뫼로 7 (송산리)
"2148701050",우리코스메틱,김동명,"20011215","서울특별시 서초구 양재천로19길 52 (양재동,우리클랍빌딩)"
"2118670906",콘택코리아코퍼레이션,한홍길,"20010101","서울특별시 강남구 논현로151길 46 1층 (신사동,승지빌딩)"
"1148608663",디엠에스인터내셔날,전병언,"20010430","서울특별시 관악구 과천대로 929 (남현동,디엠에스빌딩)"
"2148683638",크로스메디텍,곽민규,"20010604","서울특별시 성동구 상원1길 25 4173호 (성수동1가,솔623빌딩)"
"3058144372",큐티라이프,조형호,"20010315",대전광역시 중구 보문로 348 (선화동)
"2148687314",고세코리아,오노히데카츠,"20010727","서울 강남구 테헤란로 513 2층 (삼성동,삼성동케이타워)"
"4038126168",장원물류,정승욱,"20010725",대전 대덕구 신탄진로 65 3층 (연축동)
"2118101383",중원코스메틱,김남순,"20010130","서울특별시 광진구 뚝섬로56가길 13, 종합상가 203호 (자양동,현대3차아파트)"
"1078610045",비엔뷰티,김성우,"20010702","서울특별시 강남구 학동로 118, 5층 (논현동,성도빌딩)"
"2118671491",플러스셀라,김지윤,"20010108","경기도 고양시 일산동구 사리현로 14-9, 1층 (식사동,(주)넥손)"
"5148139304",효성메디케어,최성곤,"20010109",대구광역시 남구 두류공원로17길 28-2 (대명동)
"3058146384",큰사랑화장품,이상문,"20010605","충청북도 청주시 흥덕구 죽천로 109, 4층 5호 (복대동,서청주우체국)"
"2048156895",유성코리아트레이딩,최문혁,"20010302","경기도 용인시 기흥구 동백중앙로16번길 16-4 1동 713호 (중동,에이스동백타워)"
"2118706167",한비젼,이재왕,"20011228",경기 광명시 장절로 56-39 (노온사동)
"1248180371",허비너스,이종노,"20010102",경기도 화성시 매송면 매봉로 40-16 (원평리)
