사업자등록번호,순번,데이터수집일자,언론사명,기사날짜,기사제목,기사내용,기자명,URL링크,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018500057,2,,,,,,,,I,20221104,,
1018600058,1,,,,,,,,I,20221104,,
1018600059,1,20220321,,,,,,,I,20221104,,
1018600059,2,,,,,,,,I,20221104,,
1018600060,1,20220321,,,,,,,I,20221104,,
1018600060,2,,,,,,,,I,20221104,,
1018600061,1,20220321,,,,,,,I,20221104,,
1018600061,2,,,,,,,,I,20221104,,
1018600062,1,20220321,,,,,,,I,20221104,,
1018600062,2,,,,,,,,I,20221104,,
1018600063,1,20220321,,,,,,,I,20221104,,
1018600063,2,,,,,,,,I,20221104,,
1018600064,1,20220321,,,,,,,I,20221104,,
1018600064,2,,,,,,,,I,20221104,,
1018600065,1,20220321,,,,,,,I,20221104,,
1018600065,2,,,,,,,,I,20221104,,
1018600066,1,20220321,,,,,,,I,20221104,,
1018600066,2,,,,,,,,I,20221104,,
1018600067,1,20220321,,,,,,,I,20221104,,
1018600067,2,,,,,,,,I,20221104,,
1018600068,1,20220324,,,,,,,I,20221104,,
1018600068,2,,,,,,,,I,20221104,,
1018600069,1,20220321,,,,,,,I,20221104,,
1018600069,2,,,,,,,,I,20221104,,
1018600070,1,20220324,,,,,,,I,20221104,,
1018600070,2,,,,,,,,I,20221104,,
1018600071,1,20220321,,,,,,,I,20221104,,
1018600071,2,,,,,,,,I,20221104,,
1018600072,1,20220321,,,,,,,I,20221104,,
1018600072,2,,,,,,,,I,20221104,,
1018600073,1,,,,,,,,I,20221104,,
1018600074,1,20220324,세정일보,20200130,"방탄소년단 작곡가 '피독', 올해 국세청 모범납세자 선정후보로 올랐다",,,,I,20221104,,
1018600074,2,,,,,,,,I,20221104,,
1018600075,1,20220324,비즈니스포스트,20211014,[Who Is ?] 손동연 현대제뉴인 대표이사 부회장,,,,I,20221104,,
1018600075,2,,,,,,,,I,20221104,,
1018600076,1,20220324,,,,,,,I,20221104,,
1018600076,2,,,,,,,,I,20221104,,
1018600077,1,,,,,,,,I,20221104,,
1018600078,1,20220321,,,,,,,I,20221104,,
1018600078,2,,,,,,,,I,20221104,,
1018600079,1,20220321,,,,,,,I,20221104,,
1018600079,2,,,,,,,,I,20221104,,
1018600080,1,20220321,,,,,,,I,20221104,,
1018600080,2,,,,,,,,I,20221104,,
1018600081,1,,,,,,,,I,20221104,,
1018600082,1,20220321,,,,,,,I,20221104,,
1018600082,2,,,,,,,,I,20221104,,
1018600083,1,20220324,,,,,,,I,20221104,,
1018600083,2,,,,,,,,I,20221104,,
1018600084,1,20220321,,,,,,,I,20221104,,
1018600084,2,,,,,,,,I,20221104,,
1018600085,1,20220321,,,,,,,I,20221104,,
1018600085,2,,,,,,,,I,20221104,,
1018600086,1,20220324,,,,,,,I,20221104,,
1018600086,2,,,,,,,,I,20221104,,
1018600087,1,20220321,,,,,,,I,20221104,,
1018600087,2,,,,,,,,I,20221104,,
1018600088,1,,,,,,,,I,20221104,,
1018600089,1,20220324,,,,,,,I,20221104,,
1018600089,2,,,,,,,,I,20221104,,
1018600090,1,20220324,매일경제,20171108,"드림비전스, 사물인터넷 기술로 구현한 ‘홀몸 어르신 안심케어 서비스’ 제공",,,,I,20221104,,
1018600090,2,,,,,,,,I,20221104,,
1018600091,1,20220324,물류신문,20220311,"'케이씨넷·알포터', 업무협약 통해 글로벌 물류 플랫폼 구축",,,,I,20221104,,
1018600091,2,,,,,,,,I,20221104,,
1018600092,1,20220324,,,,,,,I,20221104,,
1018600092,2,,,,,,,,I,20221104,,
1018600093,1,20220324,,,,,,,I,20221104,,
1018600093,2,,,,,,,,I,20221104,,
1018600094,1,20220324,,,,,,,I,20221104,,
1018600094,2,,,,,,,,I,20221104,,
1018600095,1,20220321,,,,,,,I,20221104,,
1018600095,2,,,,,,,,I,20221104,,
1018600096,1,,,,,,,,I,20221104,,
